City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,9.25,76,75,7.2,CL,1738844080
1,papatowai,-46.5619,169.4708,9.14,89,17,2.9,NZ,1738844081
2,hasaki,35.7333,140.8333,6.56,31,21,3.92,JP,1738844082
3,san patricio,28.017,-97.5169,20.97,94,31,4.99,US,1738844083
4,albany,42.6001,-73.9662,-6.88,80,100,4.44,US,1738844084
5,stanley,54.868,-1.6985,6.01,79,0,1.03,GB,1738843994
6,adamstown,-25.066,-130.1015,24.62,79,2,4.85,PN,1738844086
7,puerto ayora,-0.7393,-90.3518,22.53,98,11,0.8,EC,1738844088
8,douglas,41.3,-96.167,-5.38,81,0,4.12,US,1738843871
9,port-aux-francais,-49.35,70.2167,8.63,93,100,19.43,TF,1738844091
10,waitangi,-43.9535,-176.5597,12.12,81,100,0.89,NZ,1738844092
11,la gi,10.6667,107.7833,22.42,79,27,5.27,VN,1738844093
12,ushuaia,-54.8,-68.3,7.51,90,100,1.09,AR,1738843961
13,grytviken,-54.2811,-36.5092,2.74,88,43,1.95,GS,1738844096
14,udachny,66.4167,112.4,-19.78,100,99,1.67,RU,1738844097
15,holualoa,19.6228,-155.9522,18.24,73,8,0.89,US,1738844099
16,wailua homesteads,22.0669,-159.378,17.44,94,20,3.6,US,1738844100
17,east london,-33.0153,27.9116,20.47,87,100,6.26,ZA,1738844101
18,ballina,-28.8667,153.5667,23.58,78,5,3.42,AU,1738844102
19,ciudad guadalupe victoria,24.4497,-104.1225,9.57,36,0,1.18,MX,1738844103
20,alotau,-10.3069,150.4462,26.52,85,100,2.58,PG,1738844105
21,tiksi,71.6872,128.8694,-30.36,97,47,3.38,RU,1738844106
22,greenville,35.6127,-77.3663,4.01,98,100,3.09,US,1738844107
23,luorong,24.4058,109.6086,9.45,85,100,3.4,CN,1738844108
24,syktyvkar,61.6764,50.8099,-5.15,93,100,2.0,RU,1738843839
